,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
238993,530,DropBox,DBX,31.98,34.37,30.79,31.25,0.27,0.87,"15,422,571",34.37,27.75,...,...,...,...,Thursday,Thursday,2018/03/29
238994,520,DropBox,DBX,31.3,32.49,30.87,32.32,1.09,3.49,"2,362,304",34.37,27.75,...,...,...,...,Wednesday,Wednesday,2018/04/11
238995,523,DropBox,DBX,33.11,34.83,32.92,33.27,0.95,2.94,"5,503,769",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/04/12
238996,525,Dropbox,DBX,29.9,30.0,28.61,29.83,0.81,2.79,"3,430,826",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/04/17
238997,527,Dropbox,DBX,30.01,31.17,29.61,30.56,0.73,2.45,"2,963,616",34.83,27.75,...,...,...,...,Wednesday,Wednesday,2018/04/18
238998,527,Dropbox,DBX,30.65,30.88,29.4,29.9,-0.66,-2.16,"1,573,833",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/04/19
238999,528,Dropbox,DBX,29.7,29.9,28.67,28.92,-0.98,-3.28,"1,734,625",34.83,27.75,...,...,...,...,Friday,Friday,2018/04/20
239000,525,Dropbox,DBX,29.23,29.8,28.29,28.94,-0.17,-0.58,"1,491,923",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/04/24
239001,525,Dropbox,DBX,28.94,29.04,28.19,28.64,-0.30,-1.04,"1,246,301",34.83,27.75,...,...,...,...,Wednesday,Wednesday,2018/04/25
239002,522,Dropbox,DBX,29.59,30.15,29.25,29.61,0.28,0.95,"1,251,821",34.83,27.75,...,...,...,...,Friday,Friday,2018/04/27
239003,524,Dropbox,DBX,29.8,30.33,29.62,30.11,0.50,1.69,"1,237,019",34.83,27.75,...,...,...,...,Monday,Monday,2018/04/30
239004,521,Dropbox,DBX,30.3,31.34,29.8,30.9,0.79,2.62,"1,722,205",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/05/01
239005,518,Dropbox,DBX,30.75,31.01,29.74,30.19,-0.82,-2.64,"1,123,625",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/05/03
239006,524,Dropbox,DBX,30.13,30.4,29.05,29.13,-1.06,-3.51,"1,771,022",34.83,27.75,...,...,...,...,Friday,Friday,2018/05/04
239007,526,Dropbox,DBX,29.49,29.88,29.33,29.41,0.28,0.96,"1,749,715",34.83,27.75,...,...,...,...,Monday,Monday,2018/05/07
239008,530,Dropbox,DBX,29.57,30.3,29.5,30.23,0.82,2.79,"1,514,561",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/05/08
239009,527,Dropbox,DBX,30.6,31.5,30.14,31.4,1.17,3.87,"3,202,247",34.83,27.75,...,...,...,...,Wednesday,Wednesday,2018/05/09
239010,526,Dropbox,DBX,32.3,32.3,31.41,32.0,0.60,1.91,"5,189,339",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/05/10
239011,526,Dropbox,DBX,31.95,32.38,30.59,31.28,-0.72,-2.25,"7,331,592",34.83,27.75,...,...,...,...,Friday,Friday,2018/05/11
239012,527,Dropbox,DBX,31.62,31.75,29.7,29.96,-1.32,-4.22,"4,914,086",34.83,27.75,...,...,...,...,Monday,Monday,2018/05/14
239013,525,Dropbox,DBX,29.94,30.11,29.5,29.55,-0.41,-1.37,"2,750,848",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/05/15
239014,529,Dropbox,DBX,29.78,30.95,29.62,30.74,1.19,4.03,"2,845,285",34.83,27.75,...,...,...,...,Wednesday,Wednesday,2018/05/16
239015,526,Dropbox,DBX,30.95,31.32,30.35,30.55,-0.19,-0.62,"1,810,527",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/05/17
239016,528,Dropbox,DBX,30.6,30.75,30.16,30.2,-0.35,-1.15,"1,198,616",34.83,27.75,...,...,...,...,Friday,Friday,2018/05/18
239017,526,Dropbox,DBX,30.45,30.6,29.95,30.09,-0.11,-0.36,"1,426,304",34.83,27.75,...,...,...,...,Monday,Monday,2018/05/21
239018,526,Dropbox,DBX,30.05,30.46,30.01,30.09,...,...,"881,619",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/05/22
239019,524,Dropbox,DBX,30.0,30.13,29.55,29.74,-0.35,-1.16,"1,457,623",34.83,27.75,...,...,...,...,Wednesday,Wednesday,2018/05/23
239020,526,Dropbox,DBX,29.8,30.5,29.57,30.2,0.46,1.55,"1,228,334",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/05/24
239021,523,Dropbox,DBX,30.1,30.38,29.8,29.97,-0.23,-0.76,"920,065",34.83,27.75,...,...,...,...,Friday,Friday,2018/05/25
239022,522,Dropbox,DBX,29.94,30.1,29.41,29.78,-0.19,-0.63,"953,037",34.83,27.75,...,...,...,...,Tuesday,Tuesday,2018/05/29
239023,524,Dropbox,DBX,29.9,30.57,29.78,30.47,0.69,2.32,"1,487,721",34.83,27.75,...,...,...,...,Wednesday,Wednesday,2018/05/30
239024,519,Dropbox,DBX,30.27,30.6,29.81,29.99,-0.48,-1.58,"1,359,982",34.83,27.75,...,...,...,...,Thursday,Thursday,2018/05/31
