,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
403842,938,Hewlett Packard Enterprise,HPE,17.7,17.75,17.45,17.54,-0.12,-0.68,"14,600,362",19.48,12.70,0.30,1.71,18.66,22.14,Thursday,Thursday,2018/03/29
403843,933,Hewlett Packard Enterprise,HPE,17.2,17.3,17.09,17.24,-0.01,-0.06,"9,592,456",19.48,12.70,0.45,2.61,18.34,20.06,Wednesday,Wednesday,2018/04/11
403844,934,Hewlett Packard Enterprise,HPE,17.35,17.6,17.33,17.41,0.17,0.99,"13,785,599",19.48,12.70,0.45,2.58,18.52,21.24,Thursday,Thursday,2018/04/12
403845,927,Hewlett Packard Enterprise,HPE,17.68,17.88,17.62,17.75,0.19,1.08,"15,871,056",19.48,12.70,0.45,2.54,18.88,23.61,Tuesday,Tuesday,2018/04/17
403846,931,Hewlett Packard Enterprise,HPE,17.77,17.78,17.61,17.68,-0.07,-0.39,"8,236,929",19.48,12.7,0.45,2.55,18.81,23.12,Wednesday,Wednesday,2018/04/18
403847,936,Hewlett Packard Enterprise,HPE,17.65,17.65,17.38,17.41,-0.27,-1.53,"7,469,081",19.48,12.70,0.45,2.58,18.52,21.24,Thursday,Thursday,2018/04/19
403848,929,Hewlett Packard Enterprise,HPE,17.44,17.45,17.16,17.29,-0.12,-0.69,"7,614,466",19.48,12.70,0.45,2.60,18.39,20.40,Friday,Friday,2018/04/20
403849,932,Hewlett Packard Enterprise,HPE,17.5,17.68,17.25,17.36,-0.06,-0.34,"9,320,571",19.48,12.70,0.45,2.59,18.47,20.89,Tuesday,Tuesday,2018/04/24
403850,936,Hewlett Packard Enterprise,HPE,17.3,17.41,17.02,17.31,-0.05,-0.29,"8,272,606",19.48,12.70,0.45,2.60,18.41,20.54,Wednesday,Wednesday,2018/04/25
403851,935,Hewlett Packard Enterprise,HPE,17.64,17.64,17.24,17.35,-0.04,-0.23,"7,983,061",19.48,12.70,0.45,2.59,18.46,20.82,Friday,Friday,2018/04/27
403852,931,Hewlett Packard Enterprise,HPE,17.34,17.46,17.05,17.05,-0.30,-1.73,"11,979,473",19.48,12.70,0.45,2.64,18.14,18.73,Monday,Monday,2018/04/30
403853,939,Hewlett Packard Enterprise,HPE,16.99,17.2,16.95,17.18,0.13,0.76,"9,538,433",19.48,12.70,0.45,2.62,18.28,19.64,Tuesday,Tuesday,2018/05/01
403854,937,Hewlett Packard Enterprise,HPE,16.99,17.08,16.75,16.9,-0.22,-1.29,"7,661,026",19.48,12.70,0.45,2.66,17.98,17.69,Thursday,Thursday,2018/05/03
403855,935,Hewlett Packard Enterprise,HPE,16.85,17.25,16.78,17.21,0.31,1.83,"6,025,805",19.48,12.70,0.45,2.61,18.31,19.85,Friday,Friday,2018/05/04
403856,938,Hewlett Packard Enterprise,HPE,17.24,17.45,17.19,17.3,0.09,0.52,"9,034,803",19.48,12.70,0.45,2.60,18.40,20.47,Monday,Monday,2018/05/07
403857,932,Hewlett Packard Enterprise,HPE,17.25,17.43,17.2,17.39,0.09,0.52,"11,382,059",19.48,12.7,0.45,2.59,18.50,21.10,Tuesday,Tuesday,2018/05/08
403858,941,Hewlett Packard Enterprise,HPE,17.4,17.67,17.34,17.6,0.21,1.21,"12,753,878",19.48,12.70,0.45,2.56,18.72,22.56,Wednesday,Wednesday,2018/05/09
403859,938,Hewlett Packard Enterprise,HPE,17.67,17.7,17.5,17.65,0.05,0.28,"10,698,638",19.48,12.70,0.45,2.55,18.78,22.91,Thursday,Thursday,2018/05/10
403860,936,Hewlett Packard Enterprise,HPE,17.66,17.78,17.61,17.67,0.02,0.11,"10,754,529",19.48,12.70,0.45,2.55,18.80,23.05,Friday,Friday,2018/05/11
403861,935,Hewlett Packard Enterprise,HPE,17.75,17.82,17.59,17.59,-0.08,-0.45,"8,144,767",19.48,12.70,0.45,2.56,18.71,22.49,Monday,Monday,2018/05/14
403862,937,Hewlett Packard Enterprise,HPE,17.48,17.53,17.29,17.4,-0.19,-1.08,"7,895,442",19.48,12.70,0.45,2.59,18.51,21.17,Tuesday,Tuesday,2018/05/15
403863,938,Hewlett Packard Enterprise,HPE,17.41,17.68,17.37,17.63,0.23,1.32,"13,955,458",19.48,12.70,0.45,2.55,18.76,22.77,Wednesday,Wednesday,2018/05/16
403864,937,Hewlett Packard Enterprise,HPE,17.68,17.76,17.43,17.67,0.04,0.23,"9,425,285",19.48,12.70,0.45,2.55,18.80,23.05,Thursday,Thursday,2018/05/17
403865,937,Hewlett Packard Enterprise,HPE,17.66,17.67,17.48,17.56,-0.11,-0.62,"5,931,338",19.48,12.70,0.45,2.56,18.68,22.28,Friday,Friday,2018/05/18
403866,937,Hewlett Packard Enterprise,HPE,17.66,17.74,17.48,17.51,-0.05,-0.28,"5,916,039",19.48,12.70,0.45,2.57,18.63,21.94,Monday,Monday,2018/05/21
403867,934,Hewlett Packard Enterprise,HPE,17.55,17.68,17.41,17.41,-0.10,-0.57,"13,421,718",19.48,12.70,0.45,2.58,18.52,21.24,Tuesday,Tuesday,2018/05/22
403868,940,Hewlett Packard Enterprise,HPE,16.85,16.95,15.45,15.58,-1.83,-10.51,"55,074,636",19.48,12.70,0.45,2.89,16.57,8.50,Wednesday,Wednesday,2018/05/23
403869,940,Hewlett Packard Enterprise,HPE,15.55,15.81,15.16,15.76,0.18,1.16,"28,555,461",19.48,12.70,0.45,2.86,8.76,9.75,Thursday,Thursday,2018/05/24
403870,943,Hewlett Packard Enterprise,HPE,15.75,15.82,15.44,15.52,-0.24,-1.52,"13,526,195",19.48,12.70,0.45,2.90,8.62,8.08,Friday,Friday,2018/05/25
403871,941,Hewlett Packard Enterprise,HPE,15.43,15.49,15.26,15.38,-0.14,-0.90,"9,553,811",19.48,12.70,0.45,2.93,8.54,7.10,Tuesday,Tuesday,2018/05/29
403872,943,Hewlett Packard Enterprise,HPE,15.47,15.66,15.32,15.57,0.19,1.24,"11,781,580",19.48,12.70,0.45,2.89,8.65,8.43,Wednesday,Wednesday,2018/05/30
403873,943,Hewlett Packard Enterprise,HPE,15.53,15.59,15.12,15.24,-0.33,-2.12,"13,552,308",19.48,12.70,0.45,2.95,8.47,6.13,Thursday,Thursday,2018/05/31
403874,943,Hewlett Packard Enterprise,HPE,15.33,15.53,15.32,15.53,0.29,1.90,"9,622,079",19.48,12.70,0.45,2.90,8.63,8.15,Friday,Friday,2018/06/01
403875,937,Hewlett Packard Enterprise,HPE,15.5,15.74,15.37,15.54,0.01,0.06,"11,991,426",19.48,12.7,0.45,2.90,8.63,8.22,Monday,Monday,2018/06/04
403876,937,Hewlett Packard Enterprise,HPE,15.5,16.13,15.45,16.06,0.52,3.35,"16,807,067",19.48,12.70,0.45,2.80,8.92,11.84,Tuesday,Tuesday,2018/06/05
403877,941,Hewlett Packard Enterprise,HPE,16.11,16.11,15.72,16.02,-0.04,-0.25,"9,790,985",19.48,12.70,0.45,2.81,8.90,11.56,Wednesday,Wednesday,2018/06/06
403878,940,Hewlett Packard Enterprise,HPE,15.98,16.06,15.82,15.92,-0.10,-0.62,"7,464,040",19.48,12.70,0.45,2.83,8.84,10.86,Thursday,Thursday,2018/06/07
403879,936,Hewlett Packard Enterprise,HPE,15.82,16.02,15.79,16.01,0.09,0.57,"7,620,437",19.48,12.70,0.45,2.81,8.89,11.49,Friday,Friday,2018/06/08
403880,941,Hewlett Packard Enterprise,HPE,15.96,16.18,15.96,16.02,0.01,0.06,"10,022,289",19.48,12.70,0.45,2.81,8.90,11.56,Monday,Monday,2018/06/11
403881,935,Hewlett Packard Enterprise,HPE,15.92,16.0,15.78,15.79,-0.12,-0.74,"7,744,025",19.48,12.70,0.45,2.85,8.77,9.96,Tuesday,Tuesday,2018/06/12
403882,934,Hewlett Packard Enterprise,HPE,15.76,15.89,15.7,15.79,...,...,"8,090,773",19.48,12.7,0.45,2.85,8.77,9.96,Wednesday,Wednesday,2018/06/13
403883,936,Hewlett Packard Enterprise,HPE,15.87,16.12,15.75,15.82,0.03,0.19,"11,663,162",19.48,12.70,0.45,2.84,8.79,10.17,Thursday,Thursday,2018/06/14
403884,936,Hewlett Packard Enterprise,HPE,15.8,15.95,15.62,15.95,0.13,0.82,"23,551,409",19.48,12.70,0.45,2.82,8.86,11.07,Friday,Friday,2018/06/15
403885,935,Hewlett Packard Enterprise,HPE,15.8,16.06,15.69,15.91,-0.04,-0.25,"11,210,717",19.48,12.70,0.45,2.83,8.84,10.79,Monday,Monday,2018/06/18
403886,935,Hewlett Packard Enterprise,HPE,15.7,15.93,15.67,15.9,-0.01,-0.06,"7,747,224",19.48,12.7,0.45,2.83,8.83,10.72,Tuesday,Tuesday,2018/06/19
403887,941,Hewlett Packard Enterprise,HPE,15.95,15.99,15.13,15.15,-0.75,-4.72,"14,414,818",19.48,12.70,0.45,2.97,8.42,5.50,Wednesday,Wednesday,2018/06/20
403888,937,Hewlett Packard Enterprise,HPE,15.2,15.49,15.14,15.42,0.27,1.78,"11,408,156",19.48,12.7,0.45,2.92,8.57,7.38,Thursday,Thursday,2018/06/21
403889,940,Hewlett Packard Enterprise,HPE,15.49,15.52,15.22,15.24,-0.18,-1.17,"8,870,824",19.48,12.7,0.45,2.95,8.47,6.13,Friday,Friday,2018/06/22
403890,944,Hewlett Packard Enterprise,HPE,15.17,15.23,14.94,15.07,-0.17,-1.12,"11,653,843",19.48,12.70,0.45,2.99,8.37,4.94,Monday,Monday,2018/06/25
403891,940,Hewlett Packard Enterprise,HPE,15.11,15.55,15.06,15.17,0.10,0.66,"7,846,215",19.48,12.70,0.45,2.97,8.43,5.64,Tuesday,Tuesday,2018/06/26
403892,947,Hewlett Packard Enterprise,HPE,15.22,15.25,14.72,14.72,-0.45,-2.97,"13,803,424",19.48,12.70,0.45,3.06,8.18,2.51,Wednesday,Wednesday,2018/06/27
403893,948,Hewlett Packard Enterprise,HPE,14.71,14.77,14.47,14.71,-0.01,-0.07,"14,266,475",19.48,12.70,0.45,3.06,8.17,2.44,Thursday,Thursday,2018/06/28
