,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
325436,294,Federal Life Group,FLF,14.98,14.98,14.98,14.98,...,...,100,...,...,...,...,...,...,Monday,Monday,2018/12/24
325437,306,Federal Life Group,FLF,14.98,14.98,14.98,14.98,...,...,100,14.98,14.98,...,...,...,...,Wednesday,Wednesday,2018/12/26
325438,297,Federal Life Group,FLF,14.97,14.97,11.02,11.02,-3.96,-26.44,200,14.98,11.02,...,...,...,...,Thursday,Thursday,2018/12/27
325439,298,Federal Life Group,FLF,11.05,11.29,11.05,11.29,0.27,2.49,300,14.98,11.02,...,...,...,...,Friday,Friday,2018/12/28
325440,293,Federal Life Group,FLF,11.45,12.25,11.45,12.25,0.96,8.46,"1,430",14.98,11.02,...,...,...,8.46,Wednesday,Wednesday,2019/01/02
325441,293,Federal Life Group,FLF,11.5,11.5,11.5,11.5,-0.75,-6.12,"5,000",14.98,11.02,...,...,...,1.82,Thursday,Thursday,2019/01/03
325442,296,Federal Life Group,FLF,11.5,12.25,11.5,12.25,0.75,6.52,"2,100",14.98,11.02,...,...,...,8.46,Friday,Friday,2019/01/04
325443,302,Federal Life Group,FLF,11.5,11.5,11.28,11.28,-0.97,-7.92,"5,300",14.98,11.02,...,...,...,-0.13,Wednesday,Wednesday,2019/01/09
325444,294,Federal Life Group,FLF,11.27,11.5,11.2,11.2,-0.08,-0.71,"1,100",14.98,11.02,...,...,...,-0.84,Thursday,Thursday,2019/01/10
325445,291,Federal Life Group,FLF,11.4,11.4,11.4,11.4,0.20,1.79,100,14.98,11.02,...,...,...,0.93,Friday,Friday,2019/01/11
325446,289,Federal Life Group,FLF,11.5,11.52,11.5,11.52,0.12,1.05,"7,560",14.98,11.02,...,...,...,2.00,Monday,Monday,2019/01/14
325447,300,Federal Life Group,FLF,11.42,11.42,11.25,11.25,-0.27,-2.34,250,14.98,11.02,...,...,...,-0.39,Wednesday,Wednesday,2019/01/16
325448,294,Federal Life Group,FLF,11.42,12.0,12.0,12.0,0.75,6.67,100,14.98,11.02,...,...,...,6.25,Friday,Friday,2019/01/18
325449,294,Federal Life Group,FLF,12.0,12.6,12.0,12.6,0.60,5.00,"1,340",14.98,11.02,...,...,...,11.56,Tuesday,Tuesday,2019/01/22
325450,288,Federal Life Group,FLF,12.6,12.6,12.6,12.6,...,...,478,14.98,11.02,...,...,...,11.56,Thursday,Thursday,2019/01/24
325451,290,Federal Life Group,FLF,11.51,11.51,11.51,11.51,-1.09,-8.65,347,14.98,11.02,...,...,...,1.91,Friday,Friday,2019/01/25
