,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
546507,477,Moxian,MOXC,2.97,3.05,2.77,3.05,0.10,3.39,"42,139",4.16,2.00,...,...,...,-20.78,Thursday,Thursday,2018/03/29
546508,461,Moxian,MOXC,2.95,2.97,2.94,2.94,...,0.11,"6,236",4.16,2.00,...,...,...,-23.55,Wednesday,Wednesday,2018/04/11
546509,460,Moxian,MOXC,2.94,2.95,2.92,2.92,-0.02,-0.79,"1,296",4.16,2.0,...,...,...,-24.16,Thursday,Thursday,2018/04/12
546510,464,Moxian,MOXC,2.94,2.94,2.92,2.92,-0.01,-0.34,"4,707",4.16,2.0,...,...,...,-24.16,Tuesday,Tuesday,2018/04/17
546511,470,Moxian,MOXC,2.93,2.93,2.91,2.93,0.01,0.34,"7,064",4.16,2.00,...,...,...,-23.90,Wednesday,Wednesday,2018/04/18
546512,454,Moxian,MOXC,2.94,3.02,2.94,3.02,0.09,3.05,"5,262",4.16,2.0,...,...,...,-21.58,Thursday,Thursday,2018/04/19
546513,460,Moxian,MOXC,3.02,3.28,3.02,3.04,0.02,0.69,"13,610",4.16,2.00,...,...,...,-21.04,Friday,Friday,2018/04/20
546514,466,Moxian,MOXC,2.81,2.97,2.7,2.97,0.19,6.83,"14,582",4.16,2.0,...,...,...,-22.86,Tuesday,Tuesday,2018/04/24
546515,458,Moxian,MOXC,2.95,3.0,2.78,2.78,-0.19,-6.40,"30,792",4.16,2.00,...,...,...,-27.79,Wednesday,Wednesday,2018/04/25
546516,449,Moxian,MOXC,2.98,2.98,2.7,2.8,0.01,0.39,"30,100",4.16,2.0,...,...,...,-27.27,Friday,Friday,2018/04/27
546517,474,Moxian,MOXC,2.88,3.05,2.81,2.89,0.09,3.21,"40,877",4.16,2.0,...,...,...,-24.94,Monday,Monday,2018/04/30
546518,451,Moxian,MOXC,2.89,2.91,2.89,2.89,...,...,"2,000",4.16,2.00,...,...,...,-24.94,Tuesday,Tuesday,2018/05/01
546519,460,Moxian,MOXC,2.76,2.92,2.76,2.92,0.01,0.34,"3,300",4.16,2.00,...,...,...,-24.16,Thursday,Thursday,2018/05/03
546520,457,Moxian,MOXC,2.93,3.17,2.93,3.17,0.25,8.56,"1,471",4.16,2.00,...,...,...,-17.66,Friday,Friday,2018/05/04
546521,482,Moxian,MOXC,2.99,2.99,2.88,2.89,-0.28,-8.83,"7,608",4.16,2.00,...,...,...,-24.94,Monday,Monday,2018/05/07
546522,458,Moxian,MOXC,2.89,2.91,2.7,2.8,-0.09,-3.15,"9,058",4.16,2.0,...,...,...,-27.30,Tuesday,Tuesday,2018/05/08
546523,477,Moxian,MOXC,2.73,2.9,2.71,2.72,-0.08,-2.82,"13,966",4.16,2.0,...,...,...,-29.35,Wednesday,Wednesday,2018/05/09
546524,469,Moxian,MOXC,2.71,2.71,2.48,2.59,-0.13,-4.78,"33,323",4.16,2.00,...,...,...,-32.73,Thursday,Thursday,2018/05/10
546525,469,Moxian,MOXC,2.6,2.7,2.58,2.68,0.09,3.47,"10,023",4.16,2.00,...,...,...,-30.39,Friday,Friday,2018/05/11
546526,461,Moxian,MOXC,2.7,2.7,2.61,2.61,-0.07,-2.61,"6,382",4.16,2.00,...,...,...,-32.21,Monday,Monday,2018/05/14
546527,466,Moxian,MOXC,2.63,2.63,2.48,2.48,-0.13,-4.98,"46,953",4.16,2.00,...,...,...,-35.58,Tuesday,Tuesday,2018/05/15
