,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
196293,289131,Lake Shore Bancorp,LSBK,16.81,16.81,16.81,16.81,0.06,0.37,234,17.40,15.41,0.40,2.38,30.16,-1.97,Nasdaq,Wednesday,2018-04-11
196294,217576,Lake Shore Bancorp,LSBK,16.88,16.88,16.88,16.88,0.07,0.40,251,17.40,15.41,0.40,2.37,30.28,-1.57,Nasdaq,Tuesday,2018-04-17
196295,290940,Lake Shore Bancorp,LSBK,16.97,17.0,16.95,16.95,0.07,0.41,"10,467",17.4,15.41,0.40,2.36,30.41,-1.17,Nasdaq,Wednesday,2018-04-18
196296,144192,Lake Shore Bancorp,LSBK,17.0,17.0,17.0,17.0,0.05,0.29,248,17.40,15.41,0.40,2.35,30.50,-0.87,Nasdaq,Thursday,2018-04-19
196297,219386,Lake Shore Bancorp,LSBK,16.88,16.9,16.88,16.88,-0.12,-0.71,"10,748",17.4,15.41,0.40,2.37,30.28,-1.57,Nasdaq,Tuesday,2018-04-24
196298,76235,Lake Shore Bancorp,LSBK,16.75,16.75,16.75,16.75,-0.13,-0.77,209,17.4,15.41,0.40,2.39,28.52,-2.33,Nasdaq,Monday,2018-04-30
196299,186344,Lake Shore Bancorp,LSBK,16.81,16.81,16.8,16.8,0.05,0.30,"2,361",17.40,15.41,0.40,2.38,28.60,-2.04,Nasdaq,Thursday,2018-05-03
196300,44944,Lake Shore Bancorp,LSBK,16.83,16.95,16.83,16.95,0.25,1.50,"4,546",17.40,15.41,0.40,2.36,28.86,-1.17,Nasdaq,Friday,2018-05-04
196301,114756,Lake Shore Bancorp,LSBK,16.9,16.9,16.9,16.9,-0.05,-0.29,224,17.4,15.41,0.40,2.37,28.77,-1.46,Nasdaq,Monday,2018-05-07
196302,329379,Lake Shore Bancorp,LSBK,16.9,16.9,16.9,16.9,0,0,301,17.40,15.41,0.40,2.37,28.77,-1.46,Nasdaq,Wednesday,2018-05-09
196303,46759,Lake Shore Bancorp,LSBK,16.8,17.5,16.8,17.4,0.50,2.96,"7,977",17.5,15.41,0.40,2.30,29.62,1.46,Nasdaq,Friday,2018-05-11
