,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
300048,185095,Spartan Motors,SPAR,17.2,17.84,17.15,17.2,0.05,0.29,"434,104",18.35,7.45,0.10,0.58,38.22,9.21,Nasdaq,Thursday,2018-03-29
300049,289686,Spartan Motors,SPAR,16.75,16.85,16.65,16.8,0.10,0.60,"204,430",18.35,7.45,0.10,0.60,37.33,6.67,Nasdaq,Wednesday,2018-04-11
300050,142937,Spartan Motors,SPAR,16.75,17.4,16.75,17.15,0.35,2.08,"259,511",18.35,7.45,0.10,0.58,38.11,8.89,Nasdaq,Thursday,2018-04-12
300051,218133,Spartan Motors,SPAR,17.7,17.85,17.5,17.65,0.15,0.86,"135,464",18.35,7.55,0.10,0.57,39.22,12.06,Nasdaq,Tuesday,2018-04-17
300052,291497,Spartan Motors,SPAR,17.55,17.65,17.05,17.1,-0.55,-3.12,"174,244",18.35,7.69,0.10,0.58,38.00,8.57,Nasdaq,Wednesday,2018-04-18
300053,144749,Spartan Motors,SPAR,17.05,17.1,16.52,16.85,-0.25,-1.46,"194,511",18.35,7.70,0.10,0.59,37.44,6.98,Nasdaq,Thursday,2018-04-19
300054,1522,Spartan Motors,SPAR,16.75,17.1,16.6,16.9,0.05,0.30,"189,134",18.35,7.80,0.10,0.59,37.56,7.30,Nasdaq,Friday,2018-04-20
300055,219943,Spartan Motors,SPAR,16.8,16.9,15.9,16.1,-0.70,-4.17,"150,859",18.35,8.1,0.10,0.62,35.78,2.22,Nasdaq,Tuesday,2018-04-24
300056,293310,Spartan Motors,SPAR,16.05,16.65,15.95,16.5,0.40,2.48,"273,834",18.35,8.1,0.10,0.61,36.67,4.76,Nasdaq,Wednesday,2018-04-25
300057,3336,Spartan Motors,SPAR,17.35,17.45,16.55,17.2,-0.05,-0.29,"299,625",18.35,8.10,0.10,0.58,38.22,9.21,Nasdaq,Friday,2018-04-27
300058,76794,Spartan Motors,SPAR,17.25,18.25,16.95,17.85,0.65,3.78,"464,649",18.35,8.1,0.10,0.56,39.67,13.33,Nasdaq,Monday,2018-04-30
300059,256585,Spartan Motors,SPAR,17.8,18.1,17.1,18.0,0.15,0.84,"356,547",18.35,8.3,0.10,0.56,40.00,14.29,Nasdaq,Tuesday,2018-05-01
300060,186905,Spartan Motors,SPAR,18.5,19.45,16.1,17.4,-1.00,-5.43,"941,758",19.45,8.30,0.10,0.57,38.67,10.48,Nasdaq,Thursday,2018-05-03
300061,45502,Spartan Motors,SPAR,17.25,17.6,16.62,17.15,-0.25,-1.44,"202,620",19.45,8.30,0.10,0.58,28.58,8.89,Nasdaq,Friday,2018-05-04
300062,115317,Spartan Motors,SPAR,17.15,17.35,16.5,16.6,-0.55,-3.21,"276,116",19.45,8.3,0.10,0.60,27.67,5.40,Nasdaq,Monday,2018-05-07
300063,258395,Spartan Motors,SPAR,16.6,16.7,16.0,16.5,-0.10,-0.60,"249,097",19.45,8.30,0.10,0.61,27.50,4.76,Nasdaq,Tuesday,2018-05-08
300064,329944,Spartan Motors,SPAR,16.4,16.46,16.05,16.1,-0.40,-2.42,"263,312",19.45,8.30,0.10,0.62,26.83,2.22,Nasdaq,Wednesday,2018-05-09
300065,188708,Spartan Motors,SPAR,16.25,16.3,15.75,16.1,0,0,"299,822",19.45,8.3,0.10,0.62,26.83,2.22,Nasdaq,Thursday,2018-05-10
300066,47320,Spartan Motors,SPAR,16.0,16.3,15.9,16.15,0.05,0.31,"158,061",19.45,8.3,0.10,0.62,26.92,2.54,Nasdaq,Friday,2018-05-11
300067,117136,Spartan Motors,SPAR,16.05,16.05,15.4,15.6,-0.50,-3.11,"330,009",19.45,8.3,0.10,0.64,26.00,-0.95,Nasdaq,Monday,2018-05-14
300068,260210,Spartan Motors,SPAR,15.6,16.05,15.6,15.85,0.25,1.60,"179,985",19.45,8.3,0.10,0.63,26.42,0.63,Nasdaq,Tuesday,2018-05-15
300069,331768,Spartan Motors,SPAR,15.8,16.05,15.7,15.9,0.05,0.32,"146,295",19.45,8.3,0.10,0.63,26.50,0.95,Nasdaq,Wednesday,2018-05-16
300070,190525,Spartan Motors,SPAR,15.9,16.1,15.8,16.0,0.10,0.63,"148,596",19.45,8.30,0.10,0.63,26.67,1.59,Nasdaq,Thursday,2018-05-17
300071,49139,Spartan Motors,SPAR,16.1,16.4,15.9,16.1,0.10,0.63,"171,657",19.45,8.3,0.10,0.62,26.83,2.22,Nasdaq,Friday,2018-05-18
300072,118950,Spartan Motors,SPAR,16.2,16.7,16.1,16.7,0.60,3.73,"149,484",19.45,8.30,0.10,0.60,27.83,6.03,Nasdaq,Monday,2018-05-21
300073,262028,Spartan Motors,SPAR,16.75,16.75,16.1,16.15,-0.55,-3.29,"148,497",19.45,8.3,0.10,0.62,26.92,2.54,Nasdaq,Tuesday,2018-05-22
300074,333579,Spartan Motors,SPAR,16.15,16.25,15.9,16.05,-0.10,-0.62,"120,490",19.45,8.30,0.10,0.62,26.75,1.90,Nasdaq,Wednesday,2018-05-23
300075,192341,Spartan Motors,SPAR,16.0,16.25,15.9,16.15,0.10,0.62,"79,095",19.45,8.30,0.10,0.62,26.92,2.54,Nasdaq,Thursday,2018-05-24
300076,50961,Spartan Motors,SPAR,16.05,16.15,16.0,16.1,-0.05,-0.31,"101,243",19.45,8.30,0.10,0.62,26.83,2.22,Nasdaq,Friday,2018-05-25
300077,263846,Spartan Motors,SPAR,16.0,16.3,15.9,16.2,0.10,0.62,"152,669",19.45,8.30,0.10,0.62,27.00,2.86,Nasdaq,Tuesday,2018-05-29
300078,335402,Spartan Motors,SPAR,16.2,16.6,16.2,16.55,0.35,2.16,"151,424",19.45,8.30,0.10,0.60,27.58,5.08,Nasdaq,Wednesday,2018-05-30
300079,194157,Spartan Motors,SPAR,16.55,16.65,15.4,15.5,-1.05,-6.34,"378,154",19.45,8.3,0.10,0.65,25.83,-1.59,Nasdaq,Thursday,2018-05-31
300080,36371,Spartan Motors,SPAR,15.50,16.1,15.35,16.1,0.60,3.87,"369,945",19.45,8.30,0.10,0.62,26.83,2.22,Nasdaq,Friday,2018-06-01
300081,108035,Spartan Motors,SPAR,16.2,16.25,16.0,16.1,0,0,"209,759",19.45,8.30,0.10,0.62,26.83,2.22,Nasdaq,Monday,2018-06-04
300082,249312,Spartan Motors,SPAR,16.1,16.7,16.1,16.6,0.50,3.11,"165,391",19.45,8.3,0.10,0.60,27.67,5.40,Nasdaq,Tuesday,2018-06-05
300083,322654,Spartan Motors,SPAR,16.55,16.93,16.55,16.85,0.25,1.51,"89,634",19.45,8.30,0.10,0.59,28.08,6.98,Nasdaq,Wednesday,2018-06-06
300084,177789,Spartan Motors,SPAR,16.7,16.8,16.2,16.25,-0.60,-3.56,"191,000",19.45,8.30,0.10,0.62,27.08,3.17,Nasdaq,Thursday,2018-06-07
300085,38200,Spartan Motors,SPAR,16.3,16.4,16.05,16.2,-0.05,-0.31,"107,262",19.45,8.30,0.10,0.62,27.00,2.86,Nasdaq,Friday,2018-06-08
300086,109860,Spartan Motors,SPAR,16.2,16.3,15.9,16.15,-0.05,-0.31,"98,662",19.45,8.3,0.10,0.62,26.92,2.54,Nasdaq,Monday,2018-06-11
300087,251135,Spartan Motors,SPAR,16.1,16.18,15.8,16.0,-0.15,-0.93,"128,920",19.45,8.3,0.10,0.63,26.67,1.59,Nasdaq,Tuesday,2018-06-12
300088,324479,Spartan Motors,SPAR,15.95,16.1,15.45,15.5,-0.50,-3.13,"123,428",19.45,8.3,0.10,0.65,25.83,-1.59,Nasdaq,Wednesday,2018-06-13
300089,179614,Spartan Motors,SPAR,15.5,15.55,14.25,14.65,-0.85,-5.48,"650,781",19.45,8.3,0.10,0.68,24.42,-6.98,Nasdaq,Thursday,2018-06-14
300090,40021,Spartan Motors,SPAR,14.55,15.0,14.5,14.85,0.20,1.37,"389,116",19.45,8.30,0.10,0.67,24.75,-5.71,Nasdaq,Friday,2018-06-15
300091,111680,Spartan Motors,SPAR,14.8,15.0,14.65,14.8,-0.05,-0.34,"205,193",19.45,8.30,0.10,0.68,24.67,-6.03,Nasdaq,Monday,2018-06-18
300092,252951,Spartan Motors,SPAR,14.7,14.75,14.29,14.45,-0.35,-2.36,"259,681",19.45,8.3,0.10,0.69,24.08,-8.25,Nasdaq,Tuesday,2018-06-19
300093,326295,Spartan Motors,SPAR,14.5,14.9,14.35,14.85,0.40,2.77,"210,202",19.45,8.30,0.10,0.67,24.75,-5.71,Nasdaq,Wednesday,2018-06-20
300094,181436,Spartan Motors,SPAR,14.85,14.9,14.2,14.4,-0.45,-3.03,"275,020",19.45,8.38,0.10,0.69,24.00,-8.57,Nasdaq,Thursday,2018-06-21
300095,41850,Spartan Motors,SPAR,14.45,14.55,14.2,14.55,0.15,1.04,"639,869",19.45,8.4,0.10,0.69,24.25,-7.62,Nasdaq,Friday,2018-06-22
300096,113504,Spartan Motors,SPAR,14.45,14.65,14.3,14.45,-0.10,-0.69,"206,824",19.45,8.5,0.10,0.69,24.08,-8.25,Nasdaq,Monday,2018-06-25
300097,254775,Spartan Motors,SPAR,14.5,14.6,14.2,14.55,0.10,0.69,"307,998",19.45,8.5,0.10,0.69,24.25,-7.62,Nasdaq,Tuesday,2018-06-26
300098,328122,Spartan Motors,SPAR,14.65,14.75,14.15,14.2,-0.35,-2.41,"218,856",19.45,8.50,0.10,0.70,23.67,-9.84,Nasdaq,Wednesday,2018-06-27
