,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
168912,184445,Intel,INTC,49.98,52.08,49.87,52.08,2.48,5.00,"41,413,318",53.78,33.23,1.20,2.30,26.30,12.82,Nasdaq,Thursday,2018-03-29
168913,289043,Intel,INTC,50.99,51.73,50.82,51.1,-0.17,-0.33,"16,046,048",53.78,33.23,1.20,2.35,25.81,10.70,Nasdaq,Wednesday,2018-04-11
168914,142295,Intel,INTC,51.49,53.27,51.45,52.72,1.62,3.17,"26,744,463",53.78,33.23,1.20,2.28,26.63,14.21,Nasdaq,Thursday,2018-04-12
168915,217488,Intel,INTC,52.91,53.7,52.89,53.54,1.14,2.18,"18,769,611",53.78,33.23,1.20,2.24,27.04,15.99,Nasdaq,Tuesday,2018-04-17
168916,290851,Intel,INTC,53.52,54.35,53.34,53.61,0.07,0.13,"20,960,650",54.35,33.23,1.20,2.24,27.08,16.14,Nasdaq,Wednesday,2018-04-18
168917,144104,Intel,INTC,52.95,52.96,51.61,52.22,-1.39,-2.59,"24,789,152",54.35,33.23,1.20,2.30,26.37,13.13,Nasdaq,Thursday,2018-04-19
168918,878,Intel,INTC,52.17,52.28,50.88,51.53,-0.69,-1.32,"25,543,514",54.35,33.23,1.20,2.33,26.03,11.63,Nasdaq,Friday,2018-04-20
168919,219298,Intel,INTC,51.87,53.64,51.14,51.45,0.35,0.68,"41,885,336",54.35,33.23,1.20,2.33,25.98,11.46,Nasdaq,Tuesday,2018-04-24
168920,292662,Intel,INTC,51.86,52.1,50.6,51.38,-0.07,-0.14,"24,972,543",54.35,33.23,1.20,2.34,25.95,11.31,Nasdaq,Wednesday,2018-04-25
168921,2688,Intel,INTC,55.44,55.79,52.23,52.73,-0.32,-0.60,"66,886,461",55.79,33.23,1.20,2.28,26.63,14.23,Nasdaq,Friday,2018-04-27
168922,76147,Intel,INTC,52.56,53.37,51.21,51.62,-1.11,-2.11,"33,188,755",55.79,33.23,1.20,2.32,22.44,11.83,Nasdaq,Monday,2018-04-30
168923,255941,Intel,INTC,51.64,53.42,51.44,53.33,1.71,3.31,"26,251,945",55.79,33.23,1.20,2.25,23.19,15.53,Nasdaq,Tuesday,2018-05-01
168924,186255,Intel,INTC,51.89,52.56,51.21,52.28,-0.03,-0.06,"26,048,832",55.79,33.23,1.20,2.30,22.73,13.26,Nasdaq,Thursday,2018-05-03
168925,44856,Intel,INTC,51.62,52.84,51.0,52.78,0.80,1.54,"24,895,823",55.79,33.23,1.20,2.27,22.95,14.34,Nasdaq,Friday,2018-05-04
168926,114669,Intel,INTC,52.86,53.58,52.83,53.33,0.55,1.04,"19,031,288",55.79,33.23,1.20,2.25,23.19,15.53,Nasdaq,Monday,2018-05-07
168927,257751,Intel,INTC,53.29,53.63,52.8,53.63,0.30,0.56,"16,949,899",55.79,33.23,1.20,2.24,23.32,16.18,Nasdaq,Tuesday,2018-05-08
168928,329293,Intel,INTC,53.76,54.37,53.19,54.34,0.71,1.32,"18,992,794",55.79,33.23,1.20,2.21,23.63,17.72,Nasdaq,Wednesday,2018-05-09
168929,188065,Intel,INTC,54.55,55.0,54.1,54.98,0.64,1.18,"18,023,890",55.79,33.23,1.20,2.18,23.90,19.11,Nasdaq,Thursday,2018-05-10
168930,46671,Intel,INTC,54.62,55.19,54.43,54.67,-0.31,-0.56,"14,546,011",55.79,33.23,1.20,2.19,23.77,18.44,Nasdaq,Friday,2018-05-11
168931,116484,Intel,INTC,54.77,55.24,54.74,54.9,0.23,0.42,"18,368,306",55.79,33.23,1.20,2.19,23.87,18.93,Nasdaq,Monday,2018-05-14
