,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
11146,156,Arlington Asset Investment Cl A,AI,10.8,11.17,10.75,11.04,0.08,0.73,"772,101",15.17,9.9,2.2,19.93,19.03,-6.28,Thursday,Thursday,3/29/2018
11147,156,Arlington Asset Investment Cl A,AI,11.25,11.35,11.21,11.3,0.01,0.09,"548,349",15.17,9.9,2.2,19.47,19.48,-4.07,Wednesday,Wednesday,4/11/2018
11148,155,Arlington Asset Investment Cl A,AI,11.35,11.37,11.14,11.21,-0.09,-0.8,"480,875",15.17,9.9,2.2,19.63,19.33,-4.84,Thursday,Thursday,4/12/2018
11149,154,Arlington Asset Investment Cl A,AI,11.2,11.31,11.18,11.28,0.1,0.89,"337,997",15.17,9.9,2.2,19.5,19.45,-4.24,Tuesday,Tuesday,4/17/2018
11150,154,Arlington Asset Investment Cl A,AI,11.28,11.38,11.24,11.27,-0.01,-0.09,"287,813",15.17,9.9,2.2,19.52,19.43,-4.33,Wednesday,Wednesday,4/18/2018
11151,155,Arlington Asset Investment Cl A,AI,11.27,11.29,11.14,11.18,-0.09,-0.8,"284,221",15.17,9.9,2.2,19.68,19.28,-5.09,Thursday,Thursday,4/19/2018
11152,154,Arlington Asset Investment Cl A,AI,11.18,11.23,11.13,11.16,-0.02,-0.18,"493,236",15.17,9.9,2.2,19.71,19.24,-5.26,Friday,Friday,4/20/2018
11153,154,Arlington Asset Investment Cl A,AI,11.12,11.19,11.04,11.16,0.03,0.27,"447,389",15.17,9.9,2.2,19.71,19.24,-5.26,Tuesday,Tuesday,4/24/2018
11154,155,Arlington Asset Investment Cl A,AI,11.15,11.16,11.07,11.15,-0.01,-0.09,"340,835",15.17,9.9,2.2,19.73,19.22,-5.35,Wednesday,Wednesday,4/25/2018
11155,154,Arlington Asset Investment Cl A,AI,11.34,11.53,11.34,11.48,0.14,1.23,"599,869",15.03,9.9,2.2,19.16,19.79,-2.55,Friday,Friday,4/27/2018
11156,155,Arlington Asset Investment Cl A,AI,11.5,11.52,11.43,11.44,-0.04,-0.35,"578,809",15.03,9.9,2.2,19.23,19.72,-2.89,Monday,Monday,4/30/2018
11157,155,Arlington Asset Investment Cl A,AI,11.43,11.45,11.16,11.31,-0.13,-1.14,"528,826",15.03,9.9,2.2,19.45,19.5,-3.99,Tuesday,Tuesday,5/1/2018
11158,155,Arlington Asset Investment Cl A,AI,11.27,11.33,11,11.23,-0.05,-0.44,"1,031,513",15.03,9.9,2.2,19.59,19.36,-4.67,Thursday,Thursday,5/3/2018
11159,155,Arlington Asset Investment Cl A,AI,11.07,11.31,11.07,11.27,0.04,0.36,"894,156",15.03,9.9,2.2,19.52,...,-4.33,Friday,Friday,5/4/2018
11160,156,Arlington Asset Investment Cl A,AI,11.23,11.44,11.21,11.27,...,...,"781,699",15.03,9.9,2.2,19.52,...,-4.33,Monday,Monday,5/7/2018
11161,155,Arlington Asset Investment Cl A,AI,11.25,11.33,11.06,11.09,-0.18,-1.6,"819,921",15.03,9.9,2.2,19.84,...,-5.86,Tuesday,Tuesday,5/8/2018
11162,157,Arlington Asset Investment Cl A,AI,11.08,11.1,10.9,10.9,-0.19,-1.71,"888,824",15.03,9.9,2.2,20.18,...,-7.47,Wednesday,Wednesday,5/9/2018
11163,156,Arlington Asset Investment Cl A,AI,10.91,11.07,10.91,10.99,0.09,0.83,"801,184",15.03,9.9,2.2,20.02,...,-6.71,Thursday,Thursday,5/10/2018
11164,157,Arlington Asset Investment Cl A,AI,10.98,11.05,10.94,10.95,-0.04,-0.36,"496,076",15.03,9.9,2.2,20.09,...,-7.05,Friday,Friday,5/11/2018
11165,156,Arlington Asset Investment Cl A,AI,10.98,11.01,10.9,10.94,-0.01,-0.09,"391,375",15.03,9.9,2.2,20.11,...,-7.13,Monday,Monday,5/14/2018
