,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
212920,1106,Kraton,KRA,47.16,48.17,46.8,47.71,0.89,1.9,"370,483",53.39,29.42,...,...,15.64,-0.95,Thursday,Thursday,3/29/2018
212921,1100,Kraton,KRA,49.8,50.13,49.28,50.12,0.03,0.06,"176,540",53.39,30.3,...,...,16.43,4.05,Wednesday,Wednesday,4/11/2018
212922,1102,Kraton,KRA,50.31,50.96,49.85,50.2,0.08,0.16,"245,384",53.39,30.3,...,...,16.46,4.21,Thursday,Thursday,4/12/2018
212923,1094,Kraton,KRA,51.46,52.21,51.23,51.98,1,1.96,"249,187",53.39,30.46,...,...,17.04,7.91,Tuesday,Tuesday,4/17/2018
212924,1098,Kraton,KRA,52.29,53.11,52,52.81,0.83,1.6,"212,538",53.39,30.7,...,...,17.31,9.63,Wednesday,Wednesday,4/18/2018
212925,1103,Kraton,KRA,52.79,53.99,52.02,52.76,-0.05,-0.09,"141,786",53.99,30.7,...,...,17.3,9.53,Thursday,Thursday,4/19/2018
212926,1095,Kraton,KRA,52.45,52.75,51.27,51.68,-1.08,-2.05,"268,839",53.99,30.7,...,...,16.94,7.29,Friday,Friday,4/20/2018
212927,1099,Kraton,KRA,51.91,52.32,50.09,50.56,-1.29,-2.49,"156,859",53.99,30.7,...,...,16.58,4.96,Tuesday,Tuesday,4/24/2018
212928,1102,Kraton,KRA,50.54,50.54,49.72,49.9,-0.66,-1.31,"305,454",53.99,30.7,...,...,16.36,3.59,Wednesday,Wednesday,4/25/2018
212929,1102,Kraton,KRA,48.37,48.61,46.27,46.7,-1.5,-3.11,"316,338",53.99,30.7,...,...,13.23,-3.05,Friday,Friday,4/27/2018
212930,1098,Kraton,KRA,46.7,47.22,45.56,45.67,-1.03,-2.21,"233,429",53.99,30.7,...,...,12.94,-5.19,Monday,Monday,4/30/2018
212931,1107,Kraton,KRA,45.28,45.28,44.25,44.83,-0.84,-1.84,"204,624",53.99,30.7,...,...,12.7,-6.93,Tuesday,Tuesday,5/1/2018
212932,1104,Kraton,KRA,46.01,46.38,45.41,46.12,-0.1,-0.22,"173,293",53.99,30.7,...,...,13.07,-4.26,Thursday,Thursday,5/3/2018
212933,1103,Kraton,KRA,45.9,47.19,45.61,47.02,0.9,1.95,"235,479",53.99,30.7,...,...,13.32,-2.39,Friday,Friday,5/4/2018
212934,1107,Kraton,KRA,47.03,47.45,46.45,47.13,0.11,0.23,"266,186",53.99,30.7,...,...,13.35,-2.16,Monday,Monday,5/7/2018
212935,1100,Kraton,KRA,47.08,47.89,47.08,47.45,0.32,0.68,"248,987",53.99,30.7,...,...,13.44,-1.49,Tuesday,Tuesday,5/8/2018
212936,1109,Kraton,KRA,47.73,47.96,46.67,46.98,-0.47,-0.99,"251,814",53.99,30.7,...,...,13.31,-2.47,Wednesday,Wednesday,5/9/2018
212937,1107,Kraton,KRA,47.26,47.74,46.89,47.57,0.59,1.26,"123,469",53.99,30.7,...,...,13.48,-1.25,Thursday,Thursday,5/10/2018
212938,1105,Kraton,KRA,47.78,47.98,46.88,47.07,-0.5,-1.05,"104,374",53.99,30.7,...,...,13.33,-2.28,Friday,Friday,5/11/2018
212939,1105,Kraton,KRA,47.34,47.57,46.59,46.98,-0.09,-0.19,"166,832",53.99,30.7,...,...,13.31,-2.47,Monday,Monday,5/14/2018
212940,1106,Kraton,KRA,46.5,46.97,46.3,46.72,-0.26,-0.55,"177,850",53.99,30.7,...,...,13.24,-3.01,Tuesday,Tuesday,5/15/2018
212941,1108,Kraton,KRA,46.86,48.24,46.86,48.03,1.31,2.8,"209,997",53.99,30.7,...,...,13.61,-0.29,Wednesday,Wednesday,5/16/2018
212942,1106,Kraton,KRA,48.16,49.11,48.16,48.95,0.92,1.92,"154,335",53.99,30.7,...,...,13.87,1.62,Thursday,Thursday,5/17/2018
212943,1106,Kraton,KRA,49.08,50.27,49.08,50.08,1.13,2.31,"155,355",53.99,30.7,...,...,14.19,3.97,Friday,Friday,5/18/2018
212944,1107,Kraton,KRA,50.36,51.11,50.16,50.59,0.51,1.02,"184,462",53.99,30.7,...,...,14.33,5.02,Monday,Monday,5/21/2018
212945,1103,Kraton,KRA,50.56,50.93,49.67,49.73,-0.86,-1.7,"128,279",53.99,30.7,...,...,14.09,3.24,Tuesday,Tuesday,5/22/2018
212946,1110,Kraton,KRA,49.23,49.76,48.78,49.34,-0.39,-0.78,"135,528",53.99,30.7,...,...,13.98,2.43,Wednesday,Wednesday,5/23/2018
212947,1110,Kraton,KRA,49.39,49.6,48.73,49.08,-0.26,-0.53,"175,086",53.99,30.7,...,...,13.9,1.89,Thursday,Thursday,5/24/2018
212948,1113,Kraton,KRA,48.81,49.02,48.2,48.73,-0.35,-0.71,"117,936",53.99,30.7,...,...,13.8,1.16,Friday,Friday,5/25/2018
212949,1112,Kraton,KRA,48.38,49.41,48.38,49.11,0.38,0.78,"127,028",53.99,30.7,...,...,13.91,1.95,Tuesday,Tuesday,5/29/2018
212950,1115,Kraton,KRA,49.54,50.09,49.17,49.35,0.24,0.49,"127,155",53.99,30.7,...,...,13.98,2.45,Wednesday,Wednesday,5/30/2018
212951,1114,Kraton,KRA,49.3,49.37,48.49,48.52,-0.83,-1.68,"172,644",53.99,30.7,...,...,13.75,0.73,Thursday,Thursday,5/31/2018
212952,1114,Kraton,KRA,49,49.38,48.76,48.97,0.45,0.93,"155,543",53.99,30.7,...,...,13.87,1.66,Friday,Friday,6/1/2018
212953,1108,Kraton,KRA,49.13,49.3,48.08,48.59,-0.38,-0.78,"167,162",53.99,30.7,...,...,13.76,0.87,Monday,Monday,6/4/2018
212954,1108,Kraton,KRA,48.59,49.17,48.4,49.07,0.48,0.99,"131,264",53.99,30.7,...,...,13.9,1.87,Tuesday,Tuesday,6/5/2018
212955,1113,Kraton,KRA,49.18,49.91,48.81,49.91,0.84,1.71,"114,178",53.99,30.7,...,...,14.14,3.61,Wednesday,Wednesday,6/6/2018
212956,1111,Kraton,KRA,49.97,50.37,49.38,49.78,-0.13,-0.26,"83,802",53.99,30.7,...,...,14.1,3.34,Thursday,Thursday,6/7/2018
212957,1106,Kraton,KRA,49.74,50.45,49.74,50.02,0.24,0.48,"94,179",53.99,30.7,...,...,14.17,3.84,Friday,Friday,6/8/2018
212958,1112,Kraton,KRA,50.21,51.1,50.03,50.91,0.89,1.78,"131,205",53.99,30.7,...,...,14.42,5.69,Monday,Monday,6/11/2018
212959,1107,Kraton,KRA,50.88,51.33,49.76,49.99,-0.92,-1.81,"137,131",53.99,30.7,...,...,14.16,3.78,Tuesday,Tuesday,6/12/2018
212960,1105,Kraton,KRA,49.97,50.24,49.15,49.56,-0.43,-0.86,"180,335",53.99,30.7,...,...,14.04,2.89,Wednesday,Wednesday,6/13/2018
212961,1108,Kraton,KRA,49.71,49.99,47.19,48.11,-1.45,-2.93,"237,732",53.99,30.7,...,...,13.63,-0.12,Thursday,Thursday,6/14/2018
212962,1107,Kraton,KRA,48.05,48.34,47.31,48.31,0.2,0.42,"237,895",53.99,30.7,...,...,13.69,0.29,Friday,Friday,6/15/2018
212963,1107,Kraton,KRA,47.96,48.36,47.69,48.31,...,...,"89,829",53.99,30.7,...,...,13.69,0.29,Monday,Monday,6/18/2018
212964,1107,Kraton,KRA,47.6,48.24,46.64,48.17,-0.14,-0.29,"238,178",53.99,30.7,...,...,13.65,...,Tuesday,Tuesday,6/19/2018
212965,1113,Kraton,KRA,48.48,48.51,47.98,48.39,0.22,0.46,"143,813",53.99,31.12,...,...,13.71,0.46,Wednesday,Wednesday,6/20/2018
212966,1109,Kraton,KRA,48.23,48.23,46.92,47.14,-1.25,-2.58,"130,692",53.99,31.12,...,...,13.35,-2.14,Thursday,Thursday,6/21/2018
212967,1111,Kraton,KRA,47.42,48.08,47.07,47.76,0.62,1.32,"461,683",53.99,31.44,...,...,13.53,-0.85,Friday,Friday,6/22/2018
212968,1115,Kraton,KRA,47.23,47.44,45.38,45.63,-2.13,-4.46,"166,144",53.99,31.48,...,...,12.93,-5.27,Monday,Monday,6/25/2018
212969,1111,Kraton,KRA,45.76,46.11,44.88,45.94,0.31,0.68,"220,465",53.99,31.48,...,...,13.01,-4.63,Tuesday,Tuesday,6/26/2018
212970,1119,Kraton,KRA,46.17,46.75,45.55,45.67,-0.27,-0.59,"133,652",53.99,31.48,...,...,12.94,-5.19,Wednesday,Wednesday,6/27/2018
212971,1119,Kraton,KRA,45.83,45.89,44.86,45.72,0.05,0.11,"121,922",53.99,31.48,...,...,12.95,-5.09,Thursday,Thursday,6/28/2018
212972,1120,Kraton,KRA,46,46.85,45.9,46.14,0.42,0.92,"196,878",53.99,31.48,...,...,13.07,-4.21,Friday,Friday,6/29/2018
212973,1116,Kraton,KRA,46.1,46.16,44.37,45.42,-0.72,-1.56,"228,906",53.99,31.48,...,...,12.87,-5.71,Monday,Monday,7/2/2018
212974,1110,Kraton,KRA,45.88,46.25,45.47,45.65,0.23,0.51,"78,326",53.99,31.48,...,...,12.93,-5.23,Tuesday,Tuesday,7/3/2018
212975,1118,Kraton,KRA,46.06,46.23,45.41,46.18,0.53,1.16,"119,112",53.99,31.48,...,...,13.08,-4.13,Thursday,Thursday,7/5/2018
212976,1118,Kraton,KRA,46.15,46.86,45.9,46.82,0.64,1.39,"92,183",53.99,31.48,...,...,13.26,-2.8,Friday,Friday,7/6/2018
212977,1123,Kraton,KRA,47.11,48.03,46.99,48,1.18,2.52,"143,812",53.99,31.48,...,...,13.6,-0.35,Monday,Monday,7/9/2018
212978,1119,Kraton,KRA,48.07,48.72,47.8,48.62,0.62,1.29,"115,517",53.99,31.48,...,...,13.77,0.93,Tuesday,Tuesday,7/10/2018
212979,1115,Kraton,KRA,48.25,48.51,47.26,47.29,-1.33,-2.74,"117,102",53.99,31.48,...,...,13.4,-1.83,Wednesday,Wednesday,7/11/2018
212980,1117,Kraton,KRA,47.73,47.73,46.64,47.3,0.01,0.02,"104,591",53.99,31.48,...,...,13.4,-1.81,Thursday,Thursday,7/12/2018
212981,1119,Kraton,KRA,47.29,48.24,47.18,47.9,0.6,1.27,"117,427",53.99,31.48,...,...,13.57,-0.56,Friday,Friday,7/13/2018
212982,1112,Kraton,KRA,47.99,48.46,47.01,47.45,-0.45,-0.94,"111,608",53.99,31.48,...,...,13.44,-1.49,Monday,Monday,7/16/2018
212983,1111,Kraton,KRA,47.28,48.47,47.26,48.37,0.92,1.94,"138,828",53.99,31.48,...,...,13.7,0.42,Tuesday,Tuesday,7/17/2018
212984,1116,Kraton,KRA,48.29,49.14,48.29,49.13,0.76,1.57,"193,496",53.99,31.48,...,...,13.92,1.99,Wednesday,Wednesday,7/18/2018
212985,1113,Kraton,KRA,48.7,49.34,48.29,49.13,...,...,"147,208",53.99,31.48,...,...,13.92,1.99,Thursday,Thursday,7/19/2018
212986,1110,Kraton,KRA,49.1,49.1,48.19,48.24,-0.89,-1.81,"78,569",53.99,31.48,...,...,13.67,0.15,Friday,Friday,7/20/2018
212987,1117,Kraton,KRA,48.07,48.07,46.71,46.74,-1.5,-3.11,"209,495",53.99,31.48,...,...,13.24,-2.97,Monday,Monday,7/23/2018
