,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
123071,633,Rosetta Genomics,ROSG,0.42,0.42,0.39,0.41,...,...,"3,497",3.35,0.23,...,...,...,-26.13,Thursday,Thursday,2018/03/29
123072,619,Rosetta Genomics,ROSG,0.37,0.41,0.37,0.37,-0.02,-6.09,"63,733",3.29,0.23,...,...,...,-33.33,Wednesday,Wednesday,2018/04/11
123073,613,Rosetta Genomics,ROSG,0.35,0.38,0.35,0.37,...,0.57,"55,354",3.29,0.23,...,...,...,-32.95,Thursday,Thursday,2018/04/12
123074,621,Rosetta Genomics,ROSG,0.34,0.37,0.34,0.37,-0.02,-4.39,"136,352",3.29,0.23,...,...,...,-33.33,Tuesday,Tuesday,2018/04/17
123075,627,Rosetta Genomics,ROSG,0.37,0.38,0.35,0.37,...,...,"13,559",2.82,0.23,...,...,...,-33.33,Wednesday,Wednesday,2018/04/18
123076,609,Rosetta Genomics,ROSG,0.35,0.38,0.35,0.35,-0.02,-5.35,"21,940",2.82,0.23,...,...,...,-36.90,Thursday,Thursday,2018/04/19
123077,614,Rosetta Genomics,ROSG,0.35,0.38,0.35,0.37,0.02,6.94,"7,778",2.82,0.23,...,...,...,-32.52,Friday,Friday,2018/04/20
123078,624,Rosetta Genomics,ROSG,0.33,0.35,0.33,0.35,-0.00,-0.20,"11,248",2.82,0.23,...,...,...,-37.06,Tuesday,Tuesday,2018/04/24
123079,616,Rosetta Genomics,ROSG,0.36,0.36,0.33,0.34,-0.01,-4.07,"21,111",2.82,0.23,...,...,...,-39.62,Wednesday,Wednesday,2018/04/25
123080,608,Rosetta Genomics,ROSG,0.45,0.45,0.43,0.43,-0.00,-0.37,"150,982",2.82,0.23,...,...,...,-22.45,Friday,Friday,2018/04/27
123081,637,Rosetta Genomics,ROSG,0.44,0.44,0.43,0.43,-0.00,-0.07,"92,808",2.82,0.23,...,...,...,-22.50,Monday,Monday,2018/04/30
123082,600,Rosetta Genomics,ROSG,0.42,0.43,0.42,0.43,-0.00,-0.84,"70,731",2.82,0.23,...,...,...,-23.15,Tuesday,Tuesday,2018/05/01
123083,621,Rosetta Genomics,ROSG,0.43,0.44,0.42,0.44,0.01,2.02,"15,964",2.82,0.23,...,...,...,-20.94,Thursday,Thursday,2018/05/03
123084,615,Rosetta Genomics,ROSG,0.42,0.44,0.42,0.44,-0.00,-0.18,"9,381",2.75,0.23,...,...,...,-21.08,Friday,Friday,2018/05/04
123085,648,Rosetta Genomics,ROSG,0.44,0.44,0.42,0.42,-0.01,-3.31,"39,733",2.75,0.23,...,...,...,-23.69,Monday,Monday,2018/05/07
123086,617,Rosetta Genomics,ROSG,0.42,0.44,0.42,0.43,0.01,1.98,"79,209",2.75,0.23,...,...,...,-22.18,Tuesday,Tuesday,2018/05/08
123087,637,Rosetta Genomics,ROSG,0.42,0.44,0.42,0.42,-0.01,-1.88,"24,979",2.75,0.23,...,...,...,-23.64,Wednesday,Wednesday,2018/05/09
123088,628,Rosetta Genomics,ROSG,0.42,0.43,0.42,0.43,0.01,1.46,"25,893",2.75,0.23,...,...,...,-22.52,Thursday,Thursday,2018/05/10
123089,629,Rosetta Genomics,ROSG,0.42,0.43,0.42,0.43,...,...,"16,742",2.75,0.23,...,...,...,-22.52,Friday,Friday,2018/05/11
123090,629,Rosetta Genomics,ROSG,0.44,0.44,0.42,0.44,0.01,2.33,"9,662",2.75,0.23,...,...,...,-20.72,Monday,Monday,2018/05/14
123091,625,Rosetta Genomics,ROSG,0.42,0.44,0.42,0.42,-0.02,-3.84,"62,851",2.75,0.23,...,...,...,-23.77,Tuesday,Tuesday,2018/05/15
123092,623,Rosetta Genomics,ROSG,0.43,0.43,0.42,0.42,-0.00,-0.21,"8,454",2.75,0.23,...,...,...,-23.93,Wednesday,Wednesday,2018/05/16
123093,613,Rosetta Genomics,ROSG,0.43,0.43,0.42,0.42,...,0.05,"16,724",2.75,0.23,...,...,...,-23.89,Thursday,Thursday,2018/05/17
123094,612,Rosetta Genomics,ROSG,0.43,0.43,0.42,0.43,0.01,1.80,"39,195",2.75,0.23,...,...,...,-22.52,Friday,Friday,2018/05/18
123095,625,Rosetta Genomics,ROSG,0.43,0.44,0.42,0.43,-0.00,-0.02,"169,599",2.75,0.23,...,...,...,-22.54,Monday,Monday,2018/05/21
